rank,token,token_utf8_bytes,aggregate_count,sample_standard_deviation,finite_sample_standard_deviation,positive_sample_standard_deviation
192,stesso,6,347,0.023534117780807145,true,true
193,può,4,343,0.039538376635348885,true,true
194,anni,4,342,0.060612913696245857,true,true
195,buon,4,341,0.029176806603166468,true,true
196,molto,5,339,0.050214638254069771,true,true
197,dall,4,338,0.017148123064165639,true,true
198,degli,5,336,0.019375477890963201,true,true
199,sa,2,336,0.03944456967562289,true,true
200,poteva,6,334,0.028520910256962958,true,true
201,nulla,5,333,0.026981827979901195,true,true
202,fa,2,328,0.018890111981585248,true,true
203,tre,3,328,0.025885776476013186,true,true
204,povero,6,327,0.094430538265164371,true,true
205,davanti,7,325,0.02819436833493353,true,true
206,eran,4,324,0.042580197382895389,true,true
207,ecco,4,323,0.082115411914857994,true,true
208,paese,5,320,0.037162442843950545,true,true
209,violet,6,320,0.20998401155437066,true,true
210,però,5,319,0.031018714464227316,true,true
211,mondo,5,318,0.02045993885605071,true,true
212,sia,3,318,0.021966245627076348,true,true
213,certo,5,317,0.03688766180946193,true,true
214,avesse,6,316,0.019784641978181677,true,true
215,signora,7,316,0.072240106758684239,true,true
216,so,2,316,0.031374787246131519,true,true
217,quelli,6,313,0.030476605833489153,true,true
218,appena,6,312,0.02244226050546708,true,true
219,vedere,6,309,0.016553541447538903,true,true
220,nelle,5,306,0.010061762822842471,true,true
221,questi,6,306,0.012304089876255241,true,true
222,giovanna,8,305,0.21402177519633928,true,true
223,proprio,7,303,0.029156427862443927,true,true
224,faccia,6,300,0.016343945385637864,true,true
225,buona,5,299,0.036823336600108253,true,true
226,signor,6,298,0.06601280624460909,true,true
227,porta,5,295,0.022583799050735823,true,true
228,queste,6,295,0.016591013329612464,true,true
229,sopra,5,295,0.017134229471202304,true,true
230,diceva,6,294,0.030953310689171797,true,true
231,altre,5,292,0.021425145462709495,true,true
232,quali,5,290,0.028106689378668694,true,true
233,nessuno,7,289,0.016553348675323702,true,true
234,dentro,6,287,0.035447609671636175,true,true
235,dietro,6,287,0.022840766400238612,true,true
236,testa,5,287,0.012751376026063256,true,true
237,sei,3,286,0.045792570937565814,true,true
238,insieme,7,283,0.027369750289343388,true,true
239,costantino,10,282,0.19788242821432023,true,true
240,male,4,281,0.013625762157720114,true,true
241,li,2,278,0.020624695847221403,true,true
242,nuovo,5,278,0.016788225615330894,true,true
243,piedi,5,278,0.038948384767342317,true,true
244,pure,4,278,0.032603160364444564,true,true
245,faceva,6,276,0.013904977641567486,true,true
246,giorni,6,272,0.022429715824548866,true,true
247,ben,3,271,0.018933844859489866,true,true
248,que,3,269,0.048072402967356584,true,true
249,mentre,6,268,0.023833442855427846,true,true
250,quei,4,267,0.058877714663820996,true,true
251,parola,6,266,0.036007623607288895,true,true
252,pensiero,8,265,0.030059282399765103,true,true
253,troppo,6,264,0.023295162946691868,true,true
254,nome,4,263,0.028307446503166567,true,true
255,punto,5,261,0.027117393041573085,true,true
256,hanno,5,260,0.0134702219536636,true,true
257,zia,3,259,0.17282831331698836,true,true
